promo_duration_days,promo_investment,promo_price_unit,year,end_date,start_date,event_id,offer_mechanic,ppg_id,promo_tactic,retailer,subsegment_name,promo_duration_weeks,no_promo_price_unit,avg_price_unit,Redemption Rate,volume_lift_pct,total_volume,month,avg_base_volume,ppg-retailer,yearweek,week,volume,revenue,baseline,incremental_volume,promo_investment,incr_revenue,roi,discount
7.0,16.705231869379563,3.434419425306672,2022,2022-11-05,2022-10-30,AHOLD|Display Only|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT|2022-10-30|2022-11-05|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT,Display Only,AHOLD,APC WIPES,1.0,3.80148638330364,3.515947029348604,0.7778944623977697,150.0,58.50413135,11,296405.8001603784,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNTAHOLD,202244.0,44.0,58.50413135,24558.89,23.40165254,3510.2478810000002,16.705231869379563,12055.663510147984,52532.1634031646,0.0965587985818252
7.0,51.75643527926444,5.016119426352595,2021,2021-04-24,2021-04-18,AHOLD|Display Only|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 80 COUNT|2021-04-18|2021-04-24|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 80 COUNT,Display Only,AHOLD,APC WIPES,1.0,5.498327419672778,5.068488565670727,0.8913971977993351,149.99999999999994,120.4089272,4,1239901.5303688,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 80 COUNTAHOLD,202116.0,16.0,120.4089272,115693.32,48.16357088,7224.535631999997,51.75643527926444,36239.13353005171,34896.798789456116,0.0877008509160193
7.0,,4.628449617153183,2021,2021-07-03,2021-06-27,AHOLD|Display Only|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 80 COUNT|2021-06-27|2021-07-03|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 80 COUNT,Display Only,AHOLD,APC WIPES,1.0,5.085538964280851,4.72735176491045,0.7836262245472042,,,6,1239901.5303688,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 80 COUNTAHOLD,202126.0,26.0,,,,,,,,0.0898802172863315
7.0,55.81915107521796,4.789031791497865,2021,2021-07-24,2021-07-18,AHOLD|Display Only|DISINFECTANT SPRAY | AEROSOL | LYSOL | LYSOL SB | 1 X 12.5 OUNCE|2021-07-18|2021-07-24|unknown|SURFACECARE,unknown,DISINFECTANT SPRAY | AEROSOL | LYSOL | LYSOL SB | 1 X 12.5 OUNCE,Display Only,AHOLD,DISINFECTANT SPRAY,1.0,5.855091230786243,5.497682159529125,0.3352618607229797,149.99999999999997,156.1772085943,7,1819143.8599835995,DISINFECTANT SPRAY | AEROSOL | LYSOL | LYSOL SB | 1 X 12.5 OUNCEAHOLD,202129.0,29.0,156.1772085943,81261.24,62.470883437720005,9370.632515657999,55.81915107521796,44876.25702392977,41968.71653883984,0.1820739246013804
7.0,36.908090072530165,5.323377034386935,2021,2021-10-16,2021-10-10,AHOLD|Display Only|DISINFECTANT SPRAY | AEROSOL | LYSOL | LYSOL SB | 1 X 12.5 OUNCE|2021-10-10|2021-10-16|unknown|SURFACECARE,unknown,DISINFECTANT SPRAY | AEROSOL | LYSOL | LYSOL SB | 1 X 12.5 OUNCE,Display Only,AHOLD,DISINFECTANT SPRAY,1.0,5.699120438726007,5.4627985681744216,0.6289448273011541,149.99999999999997,156.1772085943,10,1819143.8599835995,DISINFECTANT SPRAY | AEROSOL | LYSOL | LYSOL SB | 1 X 12.5 OUNCEAHOLD,202141.0,41.0,156.1772085943,83935.9,62.470883437720005,9370.632515657999,36.908090072530165,49883.40993153326,63472.75419320833,0.0659300691008148
7.0,8.395509192263475,2.536513719241006,2022,2022-02-26,2022-02-20,AHOLD|Feature & Display|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT|2022-02-20|2022-02-26|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT,Feature & Display,AHOLD,APC WIPES,1.0,2.76297393500976,2.619471091731266,0.6336779411401324,150.0,58.50413135,2,296405.8001603784,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNTAHOLD,202208.0,8.0,58.50413135,32439.53,23.40165254,3510.2478810000002,8.395509192263475,8903.791908093172,104527.54563817046,0.0819624871951438
7.0,19.035251165310022,3.414225025581138,2022,2022-10-22,2022-10-16,AHOLD|Feature & Display|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT|2022-10-16|2022-10-22|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT,Feature & Display,AHOLD,APC WIPES,1.0,3.801486383303639,3.4761204522819145,0.840171435991482,150.0,58.50413135,10,296405.8001603784,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNTAHOLD,202242.0,42.0,58.50413135,23733.56,23.40165254,3510.2478810000002,19.035251165310022,11984.776161303362,46101.938063694965,0.1018710363986509
7.0,52.1678673920179,4.566685860596435,2021,2021-07-10,2021-07-04,AHOLD|Feature & Display|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 80 COUNT|2021-07-04|2021-07-10|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 80 COUNT,Feature & Display,AHOLD,APC WIPES,1.0,5.068488565670726,4.635232754784156,0.8633987152827857,149.99999999999994,120.4089272,7,1239901.5303688,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 80 COUNTAHOLD,202127.0,27.0,120.4089272,52076.84,48.16357088,7224.535631999997,52.1678673920179,32992.184720029516,34621.5783449172,0.0990044070480972
7.0,43.11157470718753,4.586701719173232,2021,2021-07-17,2021-07-11,AHOLD|Feature & Display|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 80 COUNT|2021-07-11|2021-07-17|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 80 COUNT,Feature & Display,AHOLD,APC WIPES,1.0,5.036365550431121,4.678322540583696,0.796245961890766,149.99999999999994,120.4089272,7,1239901.5303688,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 80 COUNTAHOLD,202128.0,28.0,120.4089272,52738.73,48.16357088,7224.535631999997,43.11157470718753,33136.790003522656,41894.408178481164,0.0892833982671089
7.0,142.28148571495572,4.912174020015345,2021,2021-07-10,2021-07-04,AHOLD|Feature & Display|DISINFECTANT SPRAY | AEROSOL | LYSOL | LYSOL SB | 1 X 12.5 OUNCE|2021-07-04|2021-07-10|unknown|SURFACECARE,unknown,DISINFECTANT SPRAY | AEROSOL | LYSOL | LYSOL SB | 1 X 12.5 OUNCE,Feature & Display,AHOLD,DISINFECTANT SPRAY,1.0,5.864656347981885,4.953630424317447,0.956475408430299,149.99999999999997,156.1772085943,7,1819143.8599835995,DISINFECTANT SPRAY | AEROSOL | LYSOL | LYSOL SB | 1 X 12.5 OUNCEAHOLD,202127.0,27.0,156.1772085943,72030.74,62.470883437720005,9370.632515657999,142.28148571495572,46030.177594526256,16464.954081290245,0.1624105951739701
7.0,78.52448626401787,5.1694979313836775,2021,2021-10-23,2021-10-17,AHOLD|Feature & Display|DISINFECTANT SPRAY | AEROSOL | LYSOL | LYSOL SB | 1 X 12.5 OUNCE|2021-10-17|2021-10-23|unknown|SURFACECARE,unknown,DISINFECTANT SPRAY | AEROSOL | LYSOL | LYSOL SB | 1 X 12.5 OUNCE,Feature & Display,AHOLD,DISINFECTANT SPRAY,1.0,5.699120438726006,5.196329493934567,0.949338326489312,149.99999999999997,156.1772085943,10,1819143.8599835995,DISINFECTANT SPRAY | AEROSOL | LYSOL | LYSOL SB | 1 X 12.5 OUNCEAHOLD,202142.0,42.0,156.1772085943,84814.48999999999,62.470883437720005,9370.632515657999,78.52448626401787,48441.46540545065,29833.4728486848,0.0929305693811098
7.0,,3.484400106499756,2022,2022-09-03,2022-08-28,AHOLD|Feature Only|APC LIQUID | TRIGGER | LYSOL | LYSOL SB | 1 X 32 FLUID OUNCE|2022-08-28|2022-09-03|unknown|SURFACECARE,unknown,APC LIQUID | TRIGGER | LYSOL | LYSOL SB | 1 X 32 FLUID OUNCE,Feature Only,AHOLD,APC LIQUID,1.0,4.327403806654799,3.8809419753086414,0.5296083887461521,,,8,1770991.1902035717,APC LIQUID | TRIGGER | LYSOL | LYSOL SB | 1 X 32 FLUID OUNCEAHOLD,202235.0,35.0,,,,,,,,0.1948058784943178
7.0,164.62774045234983,12.656298203592812,2022,2022-10-08,2022-10-02,AHOLD|Feature Only|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 3 X 80 COUNT|2022-10-02|2022-10-08|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 3 X 80 COUNT,Feature Only,AHOLD,APC WIPES,1.0,14.57938345864662,1.2824487320837927,0.9125420379553536,149.99999999999997,12.38087904,10,209588.50700285716,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 3 X 80 COUNTAHOLD,202240.0,40.0,12.38087904,11631.81,4.9523516160000005,742.8527423999999,164.62774045234983,9401.765829171112,1128.0795392666714,0.1319044293271044
7.0,63.096450484029155,6.2631486648271135,2021,2021-09-04,2021-08-29,AHOLD|Feature Only|DISINFECTANT SPRAY | AEROSOL | LYSOL | LYSOL SB | 1 X 19 OUNCE|2021-08-29|2021-09-04|unknown|SURFACECARE,unknown,DISINFECTANT SPRAY | AEROSOL | LYSOL | LYSOL SB | 1 X 19 OUNCE,Feature Only,AHOLD,DISINFECTANT SPRAY,1.0,7.186167675655844,6.587385750269881,0.6487211188081029,149.99999999999994,105.3746745,9,1426900.1424659165,DISINFECTANT SPRAY | AEROSOL | LYSOL | LYSOL SB | 1 X 19 OUNCEAHOLD,202135.0,35.0,105.3746745,73225.38,42.149869800000005,6322.480469999999,63.096450484029155,39598.635114075994,25050.85635364041,0.1284438455222228
21.0,34.8849678700196,3.8325297462332166,2022,2022-12-31,2022-12-11,AHOLD|H1 Q1 JAN 2023 LYSOL PROMO - DEC SHIFT**H1 Q1 JAN 2023 LYSOL PROMO - DEC SHIFT|2022-12-11|2022-12-31|unknown|unknown,unknown,APC LIQUID | TRIGGER | LYSOL | LYSOL SB | 1 X 32 FLUID OUNCE,TPR Only,AHOLD,APC LIQUID,3.0,4.464483999835766,4.32187829741572,0.225658268153273,150.0,244.625336,12,1770991.1902035717,APC LIQUID | TRIGGER | LYSOL | LYSOL SB | 1 X 32 FLUID OUNCEAHOLD,202250.0,50.0,244.625336,29954.69,97.8501344,14677.52016,34.8849678700196,56252.03261413772,105185.13457349324,0.1415514656622796
21.0,35.67052612599459,6.513227080821384,2022,2022-12-31,2022-12-11,AHOLD|H1 Q1 JAN 2023 LYSOL PROMO - DEC SHIFT**HH Q4 Dec S&S Lysol Spray 12.5oz BA 12/2-1/5/23 - N|HH Q3 2022 LYSOL BUY SAVE EVENT|HH Q3 2022 LYSOL BUY SAVE EVENT|H1 Q1 JAN 2023 LYSOL PROMO - DEC SHIFT|2022-12-11|2022-12-31|unknown|unknown,unknown,DISINFECTANT SPRAY | AEROSOL | LYSOL | LYSOL SB | 1 X 12.5 OUNCE,No Tactic,AHOLD,DISINFECTANT SPRAY,3.0,6.952576306475839,6.724178536743281,0.5198547223847642,149.99999999999997,156.1772085943,12,963703.088102,DISINFECTANT SPRAY | AEROSOL | LYSOL | LYSOL SB | 1 X 12.5 OUNCEAHOLD,202250.0,50.0,156.1772085943,53249.65,62.470883437720005,9370.632515657999,35.67052612599459,61033.05746540909,65674.8969903,0.0631922910713301
21.0,164.5443252992883,13.029313699312468,2022,2022-12-31,2022-12-11,AHOLD|H1 Q1 JAN 2023 LYSOL PROMO - DEC SHIFT**HH Q4 Dec S&S Lysol Wipes 3x80CT MP  12/2-1/5/23 - N|H1 Q1 JAN 2023 LYSOL PROMO - DEC SHIFT|2022-12-11|2022-12-31|unknown|unknown,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 3 X 80 COUNT,TPR Only,AHOLD,APC WIPES,3.0,14.613299145299148,1.32310183639399,0.8726600265561217,149.99999999999997,12.38087904,12,209588.50700285716,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 3 X 80 COUNTAHOLD,202250.0,50.0,12.38087904,13430.33,4.9523516160000005,742.8527423999999,164.5443252992883,9678.861413124154,1128.6514151260326,0.1083934182306957
